Index,Book Name,Author,Rating,Number of Votes,Score,Image
1449,Three Hours,Rosamund Lupton,4.17,"21,418",90,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
1450,"The Hand of the Sun King (Pact and Pattern, #1)",J.T. Greathouse,3.78,"2,586",90,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
1451,"They Called Us ""Lucky"": The Life and Afterlife of the Iraq War's Hardest Hit Unit",Ruben Gallego,4.06,519,90,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
1452,The Tsarina's Daughter,Ellen Alpsten,3.92,"1,750",90,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
1453,"Cynical Theories: How Activist Scholarship Made Everything about Race, Gender, and Identity—and Why This Harms Everybody",Helen Pluckrose,4.11,"5,489",90,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
1454,The Henna Wars,Adiba Jaigirdar,3.94,"29,253",90,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
1455,The Christmas Murder Game,Alexandra Benedict,3.39,"19,673",90,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
1456,"Royal Honor (Dragon Royals, #5)",May Dawson,4.13,"2,239",90,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
1457,"Honey Trap (The Guild, #1)",Tate James,4.5,"13,166",90,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
1458,"The Furies (Charlie Parker, #20)",John Connolly,4.14,"5,104",90,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
1459,Only Mostly Devastated,Sophie Gonzales,3.95,"32,111",90,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
1460,The Cursed Carnival and Other Calamities: New Stories about Mythic Heroes,Rick Riordan,3.87,"1,737",90,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
1461,Follow Your Arrow,Jessica Verdi,3.88,645,90,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
1462,Motherthing,Ainslie Hogarth,3.67,"23,536",90,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
1463,Out on a Limb,Hannah Bonam-Young,4.34,"79,654",90,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
1464,Circles,Josiah Morgan,4.64,11,90,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
1465,Penance,Eliza Clark,3.89,"26,380",90,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
1466,Wishtress,Nadine Brandes,4.02,"2,575",90,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
1467,"Broken Hearts (Campus Nights, #3)",Rebecca Jenshak,3.88,"7,161",90,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
1468,Those Who Wait,Haley Cass,4.43,"15,859",90,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
1469,Acsquidentally in Love (Sucker for Love Mysteries #1),K.L. Hiers,4.01,"1,149",90,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
1470,The Wizard In My Shed (The Misadventures of Merdyn the Wild #1),Simon Farnaby,4.24,391,90,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
1471,Viviana Valentine Gets Her Man (Girl Friday #1),Emily J. Edwards,3.72,979,90,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
1472,When You Trap a Tiger,Tae Keller,4.15,"18,457",90,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
1473,"The Graham Effect (Campus Diaries, #1)",Elle Kennedy,4.2,"156,051",90,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
1474,"Worst Wingman Ever (The Improbable Meet-Cute, #2)",Abby Jimenez,3.99,"88,702",90,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
1475,The Summer We Crossed Europe in the Rain: Lyrics for Stacey Kent,Kazuo Ishiguro,3.84,694,90,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
1476,Revelator,Daryl Gregory,3.98,"5,484",90,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
1477,Facing the Mountain: A True Story of Japanese American Heroes in World War II,Daniel James Brown,4.49,"10,887",90,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
